Start Timing,Duration,Text,Merged
13553,1334,If Im lying/ Im crying.,    n
24713,1751,Mater/ are you all right?,    s
26351,4003,Oh/ shoot/ that was nothing. I used to be a daredevil.,    n
30262,1292,-What? -Thats right.,    s
31588,2460,Folks would come from all around to see my stunts.,    n
34023,1375,Mater! Mater!,    j
36473,5879,Ladies and gentlecars/ Mater the Greater!,    j
52753,3670,Get your Mater teeth right here! Two buck teeth for one buck!,    n
75713,1459,Youre a hero/ man!,    j
86033,1375,And there he goes!,    j
104913,1876,Excuse me. Pardon me. Coming through. Good to see you.,    n
106665,2626,My bad. Hey/ Ricky/ hows the kid? Watch your hood!,    n
109262,1292,He did it!,    j
114393,2544,-Mater is greater! -Youre the car!,    j
118793,2418,l did all kinds of stunts.,    n
121068,1375,Fire!,    n
135273,3252,I busted nearly every part in my body.,    n
154393,2751,But the biggest stunt Mater the Greater ever did,    n
157033,1959,was jumping Carburetor Canyon.,    n
158985,2835,Jumping Carburetor Canyon? No way.,    s
161753,2835,Yes way/ you remember. You was there/ too.,    n
164592,1375,What?,    s
165942,1251,Ready/ buddy? -Ready?,    s
167268,2168,All right then/ get er done!,    n
182553,1834,Well/ what happened?,    s
184271,2001,You didnt make it.,    n
186510,2919,Well/ see you later! Come on/ guys/ lets go!,    n
214633,2001,If Im lying/ Im crying. Gotta go.,    n
225633,1501,Hey/ Red.,    n
228793,2251,I used to be a fire truck. -What?,    n
230909,1167,Dad gum right.,    n
232102,2960,Fire! Someone call Rescue Squad Mater!,    f
242993,2334,All units/ all units! Please respond.,    n
245223,3586,Fire in progress at one-two-zero-niner Car Michael Way.,    n
248709,2293,Thats the old Gasoline and Match Factory!,    s
251309,2418,Right you are/ Mater. Now go!,    n
256473,1125,Chopper One en route.,    n
257542,2793,-Trooper responding. Wheres Mater? -Right behind you!,    n
263673,1459,Mater One en route.,    n
265027,1458,All right/ back it up/ folks.,    n
266707,2543,Put it in reverse/ pal. Make room for Mater.,    n
270873,1793,Be advised/ explosive situation.,    n
272591,2335,Rescue Squad Mater/ were counting on you!,    n
274863,1793,1 0-4! Im on it.,    n
282233,3002,Mater/ I cannot believe that you were a fire truck.,    a
285066,3127,You remember/ for Petes cke. You was there/ too!,    n
289753,2543,-Help! Help! -Remain calm!,    f
295313,2251,-I gotcha! -Look out/ its gonna blow!,    f
300553,2501,Get him to the hospital! Stat! Hes overheating.,    n
302942,1125,On my way!,    n
306473,1000,Yeah/ baby!,    j
314993,3252,Paging Dr Mater. Dr Mater to the OR.,    n
318062,1125,Whats going on/ ladies?,    n
321073,3127,All righty now/ lets have us a little look-see.,    n
324031,2084,Mater/ youre a doctor/ too?,    s
326144,4753,Thats right/ buddy. I got my MD/ my PhD/ my STP/ and my GTO.,    n
330744,1000,Hey/ Doctor.,    n
331829,1125,Clear!,    n
334673,1959,Well/ what happened? -I cved your life.,    n
336550,1459,What? No/ you didnt.,    a
338027,1083,Did so. -Did not.,    n
339143,1042,Did so. -No/ Mater...,    a
340229,1125,Yes/ I did. Yep. -Mater/ stop it!,    a
341388,1209,Did so. -Not!Did not.,    a
342628,1793,Hello/ Doctor.,    n
345953,1542,Did so.,    n
359193,1834,Dont lie/ dont cry! Wrastle!,    n
369233,2084,Check out the size of that monster truck.,    s
371190,1417,Shoot/ that boys nothing.,    n
372633,2293,I used to wrastle trucks bigger than that.,    n
374949,1041,What? Yep!,    s
376029,2710,I used to be a Monster Truck Wrastler!,    n
378588,2502,Ladies and gentlecars/,    n
381908,4629,introducing The Tormentor!,    j
386391,3044,Excuse me/ its Tow Mater!,    n
389391,2669,Who wants some ice cream?,    a
392027,1751,The I-Screamer!,    j
397473,1834,Im gonna make you scream!,    a
403633,2502,Where did he go?!,    a
405988,2585,Can I have one double dip dipstick sundae/ please?,    n
