Start Timing,Duration,Text,Emotion
150760,1399,l'm stuck.,f
160960,830,Get back!,f
206280,989,Mr. Tweedy!,n
208714,3595,What is that chicken doing outside the fence?,a
213327,3709,"l don't know, luv. - Just deal with it. Now!",a
225840,3470,l'll teach you to make a fool out of me.,a
233200,1877,Let that be a lesson to you!,a
235727,4073,No chicken escapes from Tweedy's farm!,a
429880,989,"Morning, Ginger.",n
431927,2434,Back from holiday? - l wasn't on holiday.,n
434767,2309,l was in solitary confinement.,n
437080,2878,"lt's nice to get a bit of time to yourself, isn't it?",n
445800,2992,Roll call! Come along. You'll be late for parade.,n
449873,1831,"Pip, pip. Quick march.",n
451727,1991,Left right ...,n
453960,1558,"Come on, smarten up!",n
456087,1479,Discipline! Order!,n
457880,3390,"Back in my RAF days, when an officer called for a scramble,",n
462237,2912,you'd hop in the old crate and chocks away!,a
465087,3037,"Keep over, you old fool. They just want to count us.",a
468527,2798,How dare you talk back to a senior ranking officer!,a
471887,3231,"Back in my RAF days ... - Fowler, they're coming.",a
475470,989,"Right, right!",n
478800,3276,"There'll be a reprimand, lad. You're grounded.",n
483840,1513,Attention!,n
491160,3151,"Welcome back, hen. ls there a new plan?",n
509160,2639,We've already tried going under.,a
513647,1479,Over. Right.,n
526767,2753,How's the egg count? - l laid 5 eggs today.,n
530159,2116,"Well chuffed with that, l was.",n
540480,1228,Oh no.,a
545760,3959,Why didn't you give her some of yours? - She didn't tell me.,s
550470,1513,She didn't tell anyone.,c
562567,2036,ls Edwina off on holiday?,n
620927,1956,We've got to get out of here.,n
624607,3436,"Are we still on? - We're on, all right.",n
628447,2912,"Spread the word, Mac. Meeting tonight in Hut 17.",n
658407,989,You called?,n
659927,2275,Nick and ... - Fetcher. - At your service.,n
667440,1399,Over here.,n
672520,3151,"We need more things. - Right you are, Miss.",n
676479,1877,How about this quality tea set?,n
678607,1433,A lovely necklace and pendant.,j
680718,4232,Or this number. All the rage in the fashionable Paris chicken coops.,j
685754,3310,"Simply pop it on, and as the French say: ""Voila!""",j
689007,1194,That is French.,n
690607,4118,"lt's two hats in one, Miss. For parties. For weddings.",j
696007,2355,"Madame, you look like a vision, like a dream.",j
698767,2514,"Like a duck. - No, thank you.",n
701687,3231,We're making this. We need this. Can you get it?,n
707207,3310,"This is a big job, Miss. Bigger than the others.",n
710927,3595,This will cost. - The usual: one bag of seed.,n
714680,2116,You call this pay? - lt's chicken feed.,n
717638,2468,What could we give you? - Eggs.,s
720880,2036,We can't. Our eggs are too valuable.,s
723767,1319,So are we.,n
727360,1035,"After you, Fetcher.",n
730432,989,After l what?,n
732407,1433,Move!,a
757487,2309,"Stupid, worthless creatures!",a
760720,3231,l'm sick and tired of making minuscule profits.,n
784754,1228,"Oh, yes.",n
786767,1831,Those chickens are up to something.,n
789078,2753,Quiet. l'm onto something.,n
792167,1433,They're organized.,n
794007,2309,Quiet! - That ginger one,n
797119,1115,is their leader.,n
800400,3276,l may have found a way to make some real money.,n
804167,3709,What are you on about? Ridiculous notions of escaping chickens.,d
809320,3231,"lt's all in your head, Mr. Tweedy. Say it.",n
813160,1991,lt's all in my head.,a
815607,2355,"Now you keep telling yourself that,",n
818480,3834,because l won't hear another word about it. ls that clear?,a
822120,1956,"Yes, luv.",f
824967,910,But the ginger one!,n
826120,3390,"They're chickens, you dolt! Apart from you,",a
830113,2560,they're the most stupid creatures on the planet!,a
833047,2355,"They don't plot, they don't scheme,",a
835807,1991,and they're not organized!,a
838967,2355,Order! Order!,n
841560,1797,"Quiet, everyone.",n
843927,1433,Settle down.,n
845560,3675,l would like to call to order ... - Quiet!,n
850487,2434,Discipline in the ranks! What! What!,s
853327,2673,"Thank you, Fowler. - ln my RAF days, we never wasted time",n
856407,3754,"with unnecessary chitchat. - Yes, thank you, Fowler.",n
864880,1274,Right.,n
869680,1194,Carry on.,n
872840,3754,"Our last escape attempt was a bit of a fiasco,",n
877000,2195,but Mac and l have a new plan.,n
879647,3993,"Show them, Mac. - We tried going under that wire, and it didn't work.",n
884047,2150,So the plan is: we go,n
886607,1513,over it.,n
888800,3515,"This is us, right? We get in like this",n
893167,2230,"and wind her up, and",n
895760,671,let her go!,j
901360,3072,Good grief! The turnip's bought it.,j
907680,1353,Farmer's coming!,f
914120,1558,Operation Cover-Up!,n
942040,1672,"Mr. Tweedy,",n
944887,1399,where are you?,n
947556,2514,lt's all in your head.,n
954967,3117,"Think, everyone. What haven't we tried yet?",n
959349,2309,We haven't tried not trying to escape.,n
962567,989,Might work.,n
964880,1353,What about Edwina?,n
967727,2230,How many more empty nests will it take?,n
970367,2594,Maybe she should have spent more time laying eggs,n
972920,2434,"and less time escaping. - Laying eggs,",n
976207,3117,then getting plucked and roasted is good enough for you?,n
980669,1035,lt's a living.,n
983407,1911,The fences aren't just around the farm.,n
985727,2594,They're up here in your heads.,n
988872,2070,There is a better place out there.,n
991567,2195,"Somewhere beyond that hill,",n
994327,3117,it has wide open spaces and lots of trees.,j
998280,3037,And grass. Can you imagine that?,j
1001520,2116,"Cool, green grass.",j
1004207,1194,Who feeds us?,n
1005967,2150,We feed ourselves. - Where's the farm?,n
1008590,2992,There is no farm. - Then where does the farmer live?,n
1011760,2560,There is no farmer. - ls he on holiday?,n
1014840,2116,He isn't anywhere. Don't you get it?,n
1017407,2116,"No egg count, no farmers, no dogs,",n
1019927,3037,no coops and keys and no fences!,j
1024280,3879,ln all my life l've never heard such a fantastic,j
1028956,1638,load of tripe!,a
1031767,1877,"Face the facts, ducks.",a
1033680,2355,The chance of us getting out are a million to one.,a
1038470,1638,Then there's still a chance!,n
1061870,1991,"Oh, no!",c
1064127,3117,Who am l fooling? l can't lead this bunch of ...,c
1071960,1877,Heaven help us.,c
1083440,3037,Freedom!,j
1104480,2468,"Ladies and gentlemen, you've been a wonderful audience.",n
1124440,1558,That's it.,n
1127520,1115,"lnside, quickly!",n
1135880,1592,Here's our way out!,n
1137967,1399,We'll make posters?,n
1139960,3879,"What's on the posters, Babs? We'll fly out.",n
1144487,3549,Must be important to be on a poster. l wonder what he does.,n
1148447,2753,"Obviously, he's a professional flying rooster.",n
1151839,2195,Flies around giving demonstrations.,n
1154207,2036,Do you suppose? - Absolutely!,n
1156960,1228,"No, not in there!",n
1159087,1399,Get out!,n
1167527,3356,Who are you? Where am l? What happened to my wing?,s
1171040,2309,You took a nasty fall. - Spraining the anterior tendon,n
1174007,3515,connecting the radius to the humerus. l wrapped it.,n
1177927,2389,Was that English? - She fixed your wing.,n
1180687,2673,l made the bandage. - l carried you in.,j
1188687,2275,Back up and start from the top. Where am l?,n
1191367,4790,How rude of us. We're just excited ... This is a chicken farm.,n
1196567,1592,And we're the chickens.,n
1198520,1956,"With you so far. Chicken farm, chickens.",n
1201527,1592,l don't like his look.,d
1203527,1752,His eyes are too close together.,d
1205687,3675,And he's a Yank! - Cockfighting's illegal where l come from.,d
1209767,4437,"Where is that? - A place l call home of the free, land of the brave.",n
1214873,1035,Scotland!,s
1216047,1513,No! America.,n
1220727,1228,Poppycock!,d
1222240,2912,Pushy Americans. Always showing up late for every war.,d
1226233,3436,"Overpaid, oversexed and over here.",d
1230040,3549,"What's eating grandpa? - Don't mind him, Mister ...",n
1234033,3436,"My name's Rocky, the Rhode lsland Red. Rhodes for short.",n
1238153,1319,Rocky Rhodes!,s
1239607,1479,"Catchy, ain't it?",n
1242047,1911,"Mr. Rhodes, is this you?",n
