Start Timing,Duration,Text,Merged
31522,1194,(GASPS),    m
35242,1274,(SIGHING HAPPILY),    m
42442,1194,(GASPS),    m
52242,1149,(GRUNTING),    m
57682,955,(EX CLAIMS),    m
61770,955,(GROANS),    m
64200,955,(GROANS),    m
66262,955,(GROANS),    m
70342,1672,(GRUNTS),    m
79320,1638,"Okay, Ellie, I got her.",    j
81360,1831,(GASPS) The Christmas rock.,    j
83240,1274,Just got her out of storage.,    n
84640,1592,I wanted to surprise Peaches.,    n
86320,1991,Where is our sweet little angel? Huh?,    s
88560,2434,Incoming! (LAUGHS),    j
91028,1228,(GRUNTS),    m
92200,1319,Theres your sweet little angel.,    n
93960,955,"Sorry, Dad.",    j
95080,2116,Yeah! Whoo-hoo! Its on! (LAUGHS),    j
97240,2878,You guys need to chill out. (INHALES),    n
101102,955,(SCREAMS),    m
103200,1319,(EXHALES) - ELLIE: Peaches.,    n
104189,1638,(GASPS) The Christmas rock!,    j
106040,1911,I love it! I love it! I love it! I love it! I love it! (KISSES),    j
108080,1752,"No, no, no, dont. (GROANS) Too late.",    f
110600,1718,(MUFFLED) Im stuck.,    n
113022,1319,(GRUNTS),    m
114120,2594,This is the same Christmas rock I had when I was a kid.,    n
117000,2912,Its an heirloom thats been in our family for generations.,    n
119960,1035,"Tonight when Santa comes by with his presents,",    n
122600,4152,hell see this rock and know that a very special little girl lives here.,    n
126960,1877,"MANNY: (SINGING) Oh, Christmas rock, oh, Christmas rock",    j
129082,1115,(ELLIE GROANS),    m
130040,3709,Youre 30 tons of granite And every...,    m
133880,1797,"You know youre singing to a rock, right?",    n
135800,2195,Its a Christmas tradition for the kids.,    j
138200,1911,Dont sabers have Christmas traditions?,    n
140200,955,"Oh, yeah!",    j
141280,3390,"Every year my dad would bring home the biggest, fattest gazelles he could find",    n
144800,1399,and then wed all rip into their...,    n
146756,1228,(CLEARS THROAT),    m
147922,1115,(QUIVERS),    m
149400,989,...our presents.,    n
150520,1479,And wed play games with the gazelles,    n
152080,2355,and dance with them and not eat them. The end.,    n
154560,2355,"Merry Christmas, my mammals.",    j
157040,3117,Wow! Thats some crazy rock.,    s
160280,1399,Step away from the stone.,    n
161800,1399,- Why? - Youll break it.,    n
163320,1877,(LAUGHS) Sid cant break a rock.,    j
165280,955,Dont tempt him.,    n
